output var name, var name, reference day, computation, nr days, climate computation, parameter 1, parameter 2
DEFICIT0,DEFICIT,0,,,,,
DEFICIT1,DEFICIT,1,,,,,
DEFICIT2,DEFICIT,2,,,,,
DEFICIT3,DEFICIT,3,,,,,
DEFICIT4,DEFICIT,4,,,,,
DEFICIT5,DEFICIT,5,,,,,
DEFICIT6,DEFICIT,6,,,,,
DEFICIT7,DEFICIT,7,,,,,
PREC_8,PREC,-8,,,,,
PREC_7,PREC,-7,,,,,
PREC_6,PREC,-6,,,,,
PREC_5,PREC,-5,,,,,
PREC_4,PREC,-4,,,,,
PREC_3,PREC,-3,,,,,
PREC_2,PREC,-2,,,,,
PREC_1,PREC,-1,,,,,
PREC0,PREC,0,,,,,
PREC1,PREC,1,,,,,
PREC2,PREC,2,,,,,
PREC3,PREC,3,,,,,
PREC4,PREC,4,,,,,
PREC5,PREC,5,,,,,
PREC6,PREC,6,,,,,
PREC7,PREC,7,,,,,
