output var name, var name, reference day, computation, nr days, climate computation, parameter 1, parameter 2
deficit,DEFICIT,-1,,,,,
readilyAvailableWater,RAW,-1,,,,,
forecast7daysPrec,PREC,0,SUM,7,,,
forecast7daysETc,TRANSP_MAX,0,SUM,7,,,
forecast7daysIRR,IRRIGATION,0,SUM,7,,,
previousAllSeasonIRR,IRRIGATION,-1,SUM,YYYY-01-01,,,
DT30,DT30,-1,,,,,
DT90,DT90,-1,,,,,
DT180,DT180,-1,,,,,
DT90_max,DT90,-1,MAX,YYYY-01-01,,,
DT30_percentile,DT30,-1,,,PERCENTILE,5,7
DT90_percentile,DT90,-1,,,PERCENTILE,5,7
DT180_percentile,DT180,-1,,,PERCENTILE,5,7
DT30_max_percentile,DT30,-1,MAX,YYYY-01-01,PERCENTILE,,
