DATE,TMIN,TMAX,PREC,WATERTABLE
2010-01-01,2.8,6,2.1,1.815
2010-01-02,0.5,7.6,5.1,1.799
2010-01-03,-2.5,5.6,0,1.787
2010-01-04,-0.8,0.5,0.3,1.782
2010-01-05,-0.7,0.2,0.5,1.776
2010-01-06,-3.8,6.1,6.8,1.768
2010-01-07,-4.8,1.8,2.9,1.761
2010-01-08,0.7,3.9,12.2,1.736
2010-01-09,2.5,7.3,12.4,1.693
2010-01-10,-0.1,9,0,1.639
2010-01-11,-1.5,8.8,0,1.634
2010-01-12,0.7,6.1,0,1.63
2010-01-13,1.4,5.2,0,1.626
2010-01-14,1.1,6.1,0,1.621
2010-01-15,-0.6,5.6,0.2,1.616
2010-01-16,-1.2,6.8,0.2,1.612
2010-01-17,0.4,3.8,0,1.607
2010-01-18,-1.1,6.8,0,1.603
2010-01-19,-1.5,0,0,1.599
2010-01-20,-2.7,-0.1,0,1.593
2010-01-21,-0.2,0.2,0.2,1.588
2010-01-22,-1.1,0.9,0,1.583
2010-01-23,-4.2,1.8,0,1.578
2010-01-24,-4.2,2.3,0,1.574
2010-01-25,0,1.8,0,1.571
2010-01-26,-0.4,1.2,2.7,1.566
2010-01-27,-3.1,3.1,4.4,1.557
2010-01-28,-4.8,3.3,0.1,1.537
2010-01-29,-5,2,0,1.534
2010-01-30,-0.3,2.8,0,1.531
2010-01-31,-7.1,1.9,5.4,1.527
2010-02-01,-11.7,1.7,0.8,1.504
2010-02-02,-9.3,3.7,0,1.501
2010-02-03,-7.4,6.2,0,1.499
2010-02-04,-5,3.9,0,1.497
2010-02-05,0.6,3.9,3.2,1.495
2010-02-06,2.1,6.8,8.3,1.475
2010-02-07,0.6,10.4,0,1.442
2010-02-08,-1.6,7,0,1.44
2010-02-09,-1.2,4.5,0.1,1.439
2010-02-10,0.3,3.6,13.7,1.437
2010-02-11,0.7,3.7,7.5,1.378
2010-02-12,0.3,6.2,1.4,1.346
2010-02-13,-1.8,10.6,0,1.34
2010-02-14,-2.7,7.8,0.4,1.339
2010-02-15,-0.7,7.6,0,1.337
2010-02-16,2.4,5.3,0.7,1.337
2010-02-17,3.3,9.3,1.6,1.329
2010-02-18,4.5,11.8,0.9,1.322
2010-02-19,5.5,14.8,4.7,1.318
2010-02-20,2.1,10.7,6.2,1.3
2010-02-21,0.2,11.6,0.2,1.27
2010-02-22,5.1,9.9,1.3,1.271
2010-02-23,5.6,9,5.1,1.266
2010-02-24,2.5,11.1,0,1.245
2010-02-25,1.9,15.1,0.2,1.247
2010-02-26,4.6,15.2,2.4,1.25
2010-02-27,1.6,16.8,0,1.23
2010-02-28,6.9,10,0,1.233
2010-03-01,3.4,14.2,0,1.234
2010-03-02,5.5,16.5,0,1.237
2010-03-03,3.4,10.1,17.2,1.241
2010-03-04,4.8,8.6,11,1.169
2010-03-05,1.4,6.2,5.3,1.121
2010-03-06,-1.1,9.8,0,1.099
2010-03-07,0.3,7.3,0.6,1.102
2010-03-08,-1.9,5.8,0,1.104
2010-03-09,0.1,4,2,1.106
2010-03-10,0.1,1.3,11.7,1.096
2010-03-11,-2.6,3.3,0.7,1.056
2010-03-12,-2.9,5.9,0,1.055
2010-03-13,-2.5,10.5,0,1.058
2010-03-14,-1.1,12.8,0,1.063
2010-03-15,-0.5,14,0,1.067
2010-03-16,-0.5,15.7,0,1.073
2010-03-17,-0.3,15.1,0,1.08
2010-03-18,2.5,18,0,1.086
2010-03-19,3.6,17.7,0,1.093
2010-03-20,4.6,15.6,0,1.1
2010-03-21,9.1,15.6,0.2,1.106
2010-03-22,9.9,13.1,5.3,1.111
2010-03-23,6.5,16.3,0,1.091
2010-03-24,5.9,18,0.2,1.097
2010-03-25,5.9,19.7,0.2,1.104
2010-03-26,9.2,20.9,0.1,1.112
2010-03-27,7,19.6,3,1.12
2010-03-28,5.7,20.8,0,1.128
2010-03-29,4.4,20.6,0,1.137
2010-03-30,7.9,18.5,3.3,1.147
2010-03-31,6.6,18.1,2.1,1.142
2010-04-01,5.3,17,0.3,1.147
2010-04-02,3.4,15.8,0,1.154
2010-04-03,3.1,18.2,0,1.162
2010-04-04,8.5,16.7,12.7,1.171
2010-04-05,5.9,15.5,9.5,1.153
2010-04-06,4.1,18.8,0,1.136
2010-04-07,3.5,17.9,0,1.147
2010-04-08,2.2,19.5,0,1.158
2010-04-09,4.2,21.7,0.1,1.17
2010-04-10,7.4,23.7,0.1,1.183
2010-04-11,4.1,14.1,2.2,1.195
2010-04-12,2.4,15.3,0,1.188
2010-04-13,4.4,13.1,0.2,1.198
2010-04-14,1.7,19.1,0,1.206
2010-04-15,4,18.6,0.4,1.218
2010-04-16,5.8,16.8,0.2,1.229
2010-04-17,9.9,14.5,11.9,1.239
2010-04-18,7.3,17.9,0.2,1.209
2010-04-19,6.8,20.7,0,1.216
2010-04-20,6.3,24.5,0,1.228
2010-04-21,8.5,24.5,0,1.243
2010-04-22,9,22.6,0,1.257
2010-04-23,12.2,16.2,5.6,1.27
2010-04-24,11,16.6,4.7,1.245
2010-04-25,11.6,23.8,0,1.244
2010-04-26,11,25.8,0,1.258
2010-04-27,13.2,23.2,0,1.274
2010-04-28,12.3,26,0,1.287
2010-04-29,10.1,25.2,0,1.303
2010-04-30,11.1,27.1,0,1.319
2010-05-01,11.4,25.5,0,1.336
2010-05-02,14.4,19.9,9.3,1.352
2010-05-03,13.4,23.9,0,1.34
2010-05-04,12,20.4,16.2,1.354
2010-05-05,11.5,19.8,7.1,1.307
2010-05-06,8.8,19.7,0,1.275
2010-05-07,6.1,18.9,1.7,1.287
2010-05-08,10.2,20.7,0.2,1.278
2010-05-09,8.9,22.1,0,1.291
2010-05-10,13.5,22.7,2.6,1.306
2010-05-11,12.1,19.1,33.6,1.313
2010-05-12,11.9,22.7,2.6,1.279
2010-05-13,11.6,21.3,2.6,1.29
2010-05-14,9.7,21.3,0.1,1.296
2010-05-15,12,14.5,25.4,1.298
2010-05-16,11.4,21.9,0.7,1.232
2010-05-17,10.8,22.2,0,1.247
2010-05-18,10,24.6,0,1.262
2010-05-19,10.1,20,1.4,1.281
2010-05-20,10.2,21.5,0,1.294
2010-05-21,10.4,24,0,1.311
2010-05-22,14.2,25.9,0,1.329
2010-05-23,13.7,27.6,0,1.347
2010-05-24,14.5,29.2,0,1.365
2010-05-25,12.5,30,0,1.386
2010-05-26,12.2,29.5,0,1.408
2010-05-27,14,27.2,5.4,1.428
2010-05-28,14,26.2,0.1,1.401
2010-05-29,13.5,26.1,3.9,1.419
2010-05-30,13.7,25.6,1,1.393
2010-05-31,13,26.7,0.3,1.411
2010-06-01,9.3,26.9,0,1.429
2010-06-02,15.4,24.7,0.5,1.45
2010-06-03,14.9,22.6,1.1,1.464
2010-06-04,15.4,27,0.1,1.468
2010-06-05,15.5,27.1,0,1.486
2010-06-06,12.5,28.7,0,1.504
2010-06-07,15.7,30.3,0.3,1.525
2010-06-08,17.4,30.2,0,1.545
2010-06-09,17,30.7,0,1.565
2010-06-10,18.5,30.4,0,1.586
2010-06-11,18,32.8,0,1.606
2010-06-12,17.5,31.9,0,1.629
2010-06-13,16.7,31.2,0.1,1.65
2010-06-14,14.4,30,0,1.661
2010-06-15,19.1,24,4,1.682
2010-06-16,16,27.9,6.5,1.651
2010-06-17,15,24.9,1.6,1.622
2010-06-18,15.1,26.8,0.3,1.629
2010-06-19,14,24.8,10.8,1.647
2010-06-20,13.8,17.1,28.2,1.63
2010-06-21,13.7,19.7,6.4,1.524
2010-06-22,13.4,26.1,0,1.515
2010-06-23,15.5,26.9,0,1.535
2010-06-24,12.9,26.4,0,1.554
2010-06-25,14.1,28.4,0,1.573
2010-06-26,16.9,30,0,1.593
2010-06-27,15,29.7,0,1.613
2010-06-28,15.5,30.3,0,1.634
2010-06-29,16.6,31.4,0,1.656
2010-06-30,18.1,33.1,0,1.676
2010-07-01,18.1,34.1,0,1.698
2010-07-02,18.2,33.6,0,1.719
2010-07-03,19.1,34.8,0,1.741
2010-07-04,20.9,33.9,0,1.763
2010-07-05,20.2,32.5,0,1.784
2010-07-06,20.4,32.3,2.3,1.804
2010-07-07,18.2,29,0,1.824
2010-07-08,17.7,30.5,0,1.842
2010-07-09,17,32.3,0,1.861
2010-07-10,18,33.3,0,1.882
2010-07-11,18.4,33.8,0,1.903
2010-07-12,17.9,34.7,0,1.924
2010-07-13,21.1,35.3,0,1.945
2010-07-14,20.8,35.4,0,1.966
2010-07-15,20.7,36.9,0,1.988
2010-07-16,20.5,36.4,0,2.01
2010-07-17,20.6,36.3,0,2.032
2010-07-18,19.8,29.1,0,2.053
2010-07-19,18.1,30.3,0,2.069
2010-07-20,18,32.3,0,2.086
2010-07-21,17.7,34.1,0,2.104
2010-07-22,19.3,36.1,0,2.124
2010-07-23,20.1,35.1,0,2.145
2010-07-24,17.8,30.7,0,2.165
2010-07-25,14.8,29.9,0,2.182
2010-07-26,15.3,27.8,0.4,2.2
2010-07-27,13.9,28.3,0.5,2.215
2010-07-28,12.6,31.8,0,2.229
2010-07-29,17,24.6,12.4,2.247
2010-07-30,14.4,25.4,0,2.22
2010-07-31,14,28.5,0,2.234
2010-08-01,14.1,31,0,2.25
2010-08-02,16.8,32.9,0.1,2.268
2010-08-03,18.9,31,0.2,2.286
2010-08-04,17.4,29.4,0.2,2.302
2010-08-05,16.1,20,20.7,2.317
2010-08-06,15.6,26.5,2.4,2.252
2010-08-07,14.4,29.7,0,2.199
2010-08-08,15.4,30.6,0,2.215
2010-08-09,16.5,30.6,0,2.231
2010-08-10,16.4,31.5,0,2.247
2010-08-11,17.7,31.9,0,2.262
2010-08-12,18.8,31.2,0.7,2.278
